"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"PS101";"Linear_DE14MA_manual_soldering";1;"LT3032-5";;;
2;"BAT101,BAT102";"Battery_Holder_9V_BC9VPC-ND";2;"BC9VPC";;;
3;"C101,C102,C103,C104,C201,C202,C203,C204,C301,C302,C303,C304,C401,C402,C403,C404,C501,C502,C503,C504,C601,C602,C603,C604,C605,C606,C607,C608,C701,C702,C703,C704,C705,C706,C707,C708,C801,C802,C803,C804,C805,C806,C807,C808,C901,C902,C903,C904,C905,C906,C907,C908,C1001,C1002,C1003,C1004,C1005,C1006,C1101,C1102,C1103,C1104,C1105,C1106,C1201,C1202,C1203,C1204,C1205,C1206,C1301,C1302,C1303,C1304,C1305,C1306";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";76;"0.1uF";;;
4;"C105,C106,C109,C110";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"10uF";;;
5;"C107,C108";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"0.01uF";;;
6;"C1007,C1107,C1207,C1307";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"0.015uF";;;
7;"J101";"PinHeader_1x05_P2.54mm_Vertical";1;"INPUTS";;;
8;"J102";"PinHeader_1x05_P2.54mm_Vertical";1;"POST_INSTR";;;
9;"J103";"PinHeader_1x05_P2.54mm_Vertical";1;"POST_NOTCH";;;
10;"J104";"PinHeader_1x05_P2.54mm_Vertical";1;"OUTPUTS";;;
11;"R101,R201,R301,R401,R501";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";5;"1k";;;
12;"R102,R103,R104,R202,R203,R204,R302,R303,R304,R402,R403,R404,R502,R503,R504";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";15;"1M";;;
13;"R601,R603,R701,R703,R801,R803,R901,R903";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";8;"26.1k";;;
14;"R602,R605,R702,R705,R802,R805,R902,R905,R1005,R1105,R1205,R1305";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";12;"10k";;;
15;"R604,R704,R804,R904";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"422";;;
16;"R1001,R1101,R1201,R1301";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"1.8k";;;
17;"R1002,R1102,R1202,R1302";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"5.1k";;;
18;"R1003,R1103,R1203,R1303";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"3k";;;
19;"R1004,R1104,R1204,R1304";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"249";;;
20;"RV601,RV701,RV801,RV901";"Potentiometer_Bourns_TC33X_Vertical";4;"R_POT_TRIM_US";;;
21;"U101,U201,U301,U401,U501,U601,U701,U801,U901,U1001,U1101,U1201,U1301";"VSSOP-8_3.0x3.0mm_P0.65mm_manual_soldering";13;"OPA2202";;;
